Assignment: GS 540 HW6
Name: Tanush Goel
32464048 32464875 25.52
32480423 32481025 42.76
32534904 32535398 34.51
32778706 32779347 20.96
32786320 32787535 31.81
32794642 32794967 24.58
32798138 32799035 24.39
32800162 32802646 41.48
32805408 32809887 214.27
32812316 32813312 54.11
32814956 32817009 60.85
32818961 32821778 77.39
32827617 32829171 27.38
32831212 32836092 242.25
32836705 32840510 89.35
33015160 33015829 21.51
33025768 33027901 31.23
33028860 33032735 243.39
33033845 33036956 232.84
33037447 33041423 133.00
33041902 33043033 70.10
33050554 33054176 142.85
33055211 33056805 57.70
33057994 33058684 73.78
33062924 33063554 23.37
33069792 33070720 20.52
33071500 33072825 106.56
33075188 33076000 30.59
33336094 33339991 919.25
33491295 33491891 49.96
33521149 33521737 23.80
33532813 33533030 21.56
33566582 33568856 42.28
33578986 33580497 27.87
33583759 33585888 27.54
33589332 33590288 62.04
33591561 33598423 44.24
33600502 33601901 29.46
33603339 33605852 58.10
33607290 33609326 29.87
33722404 33722566 24.61
33727368 33727648 21.79
33728042 33743484 1526.76
33744377 33746702 150.49
33747555 33748149 26.08
33782144 33782440 23.02
33836711 33838065 24.33
33839520 33840187 41.00
33869394 33870190 32.37
34062045 34066241 1984.81
34066822 34067808 247.23
34071203 34074524 421.51
34078234 34080752 47.28
34085040 34086230 423.62
34096118 34100267 1399.21
34103389 34103691 26.02
34113236 34113630 20.71
34115805 34116186 23.84
34117042 34118446 34.88
34119366 34121349 169.91
34122007 34124114 50.52
34162684 34163334 25.90
34164953 34165698 39.65
34166352 34176455 838.63
34178796 34182592 143.16
34183362 34185999 92.90
34189539 34194400 207.89
34195190 34196262 58.57
34199526 34199719 28.99
34201230 34201740 49.02
34205188 34205629 134.05
34210479 34213987 189.14
34235201 34236387 21.56
34253883 34254404 20.49
34273089 34273298 22.53
34276561 34277245 77.55
34278690 34279024 33.61
34280350 34280973 40.03
34281380 34281712 21.54
34284298 34284593 24.91
34285865 34286490 21.57
34287731 34288178 44.25
34453892 34454148 245.97
34571510 34575016 3477.60
34575434 34576716 1328.83
34580966 34583932 3914.69
34584619 34596484 12862.22
34609536 34610520 33.32
34616879 34625290 470.15
34628988 34631394 38.23
34697538 34699180 36.26
34702884 34703761 27.30
34711922 34714030 39.77
34725240 34726049 52.22
34728903 34729830 25.36
34731926 34732975 23.20
34747351 34749051 31.07
34754685 34754867 20.31
34755828 34756567 23.94
34761230 34762194 28.95
34765408 34766205 31.79
34766736 34767170 32.20
34797847 34798101 27.57
34805270 34807302 27.52
34808349 34808490 21.08
34814498 34815251 39.40
34821287 34822833 34.07
34894371 34894632 220.20
34896809 34900673 62.06
34902354 34903069 21.35
34907322 34910691 67.96
34916767 34919563 73.02
34927339 34927597 27.12
34946888 34949888 62.72
34951724 34954726 33.15
35994350 35996377 73.20
35997572 35998375 29.55
36011528 36017950 646.69
36025036 36025748 22.73
36039162 36039742 21.74
36040461 36041725 40.60
36046441 36046969 26.70
36049851 36050228 21.35
36055794 36055963 24.64
36057573 36057777 30.76
36058828 36059141 24.81
36070788 36070993 48.06
36084778 36085230 47.33
36090345 36093948 68.89
36095512 36098918 133.08
36100293 36101457 102.98
36102975 36103309 21.83
36104956 36105603 35.58
36106305 36109265 128.42
36110157 36111579 51.66
36114008 36115106 56.66
36117385 36126346 707.50
36193223 36193504 60.32
36249621 36250339 35.56
36311660 36312435 55.13
36317109 36317597 21.09
36334584 36337358 243.82
36338749 36338993 110.01
36340417 36340799 32.56
36346346 36346981 42.13
36347397 36347752 75.94
36348658 36349463 43.74
36351234 36352439 43.94
36354021 36354529 27.12
36355384 36355790 32.87
36362645 36363130 25.45
36364083 36364560 22.27
36365221 36365925 24.70
36368136 36368454 27.09
36371652 36372605 34.74
36378908 36379331 36.31
36382529 36383720 112.88
36385196 36385604 39.09
36386948 36387696 30.49
36388752 36390091 74.69
36390759 36391897 36.48
36392706 36393733 38.52
36408088 36409412 67.42
36410683 36411792 36.73
36415255 36416141 63.18
36418001 36418520 32.35
36418966 36419354 34.87
36420454 36420933 26.71
36422266 36422889 42.90
36434158 36434782 45.69
36435209 36435717 22.42
36447030 36448005 26.57
36453819 36454621 86.21
36456924 36457280 30.01
36458958 36460629 45.92
36462946 36464326 26.18
36469735 36471254 119.09
36473121 36473986 36.58
36478812 36479201 20.61
36483195 36483716 49.18
36486074 36486363 20.27
36487616 36488045 66.19
36488989 36489421 43.58
36489932 36490664 21.66
36491396 36491730 21.27
36493840 36494268 32.31
36498377 36499994 66.22
36505537 36506010 22.12
36509149 36509918 32.97
36522572 36523392 25.19
36524456 36525380 20.31
36526183 36527797 285.53
36531344 36531940 21.10
36532345 36532632 24.02
36533533 36534011 21.53
36546288 36547097 35.09
36549197 36550475 29.56
36552558 36554970 105.38
36558519 36559564 99.45
36562579 36563212 31.26
36564263 36565709 45.59
36570583 36571097 28.82
36576732 36577779 47.51
36579129 36580142 42.37
36581122 36581988 29.54
36590131 36591803 156.53
36592250 36593751 154.51
36595319 36596040 37.47
36607084 36607624 45.32
36617257 36618361 81.17
36621915 36622900 61.20
36623952 36625233 35.09
36636703 36638697 53.17
36639273 36640670 23.26
36643529 36643923 20.74
36652865 36653331 32.20
36659395 36660331 37.24
36665330 36666388 121.66
36675706 36676223 29.08
36677062 36677375 30.63
36683445 36683843 59.50
36687406 36687941 20.68
36694881 36695353 45.01
36701973 36702255 23.36
36704614 36706004 114.96
36709311 36709900 37.15
36717632 36717892 29.02
36723705 36724349 53.56
36726006 36726389 24.74
36736111 36737131 119.07
36743160 36743692 20.42
36759794 36760825 41.04
36763211 36764385 65.41
36768975 36769618 175.44
36781482 36782088 24.12
36782763 36783464 49.65
36786980 36787539 40.91
36793400 36794201 28.30
36799977 36800244 23.83
36802797 36803487 21.50
36811947 36812512 67.89
36812952 36813847 95.52
36827299 36827610 50.40
36830065 36830313 28.22
36832296 36832861 35.11
36834201 36834994 31.52
36840634 36840991 22.89
36846493 36846894 28.09
36851682 36852817 38.06
36853299 36853776 33.41
36855907 36856740 32.45
36857773 36858128 23.07
36870268 36871193 39.51
36877929 36878402 28.61
36889215 36889667 22.60
36893335 36894156 31.99
36895850 36896396 64.09
36900192 36901276 52.94
36907555 36909290 173.12
36913508 36914759 33.70
36927388 36928165 41.46
36928995 36929605 28.48
36931499 36932691 31.28
36942627 36943246 79.57
36956942 36957484 21.07
36962419 36963361 98.73
36973159 36973566 40.87
36975328 36977169 39.23
36980185 36980526 25.19
36981590 36982042 157.35
36992072 36992990 32.10
36999585 37000127 45.16
37001639 37003143 114.16
37007117 37007792 21.48
37010666 37011377 81.55
37021688 37023025 22.62
37034345 37034649 28.01
37058822 37059639 43.01
37073520 37073973 78.34
37076994 37077580 21.59
37109836 37111258 58.12
37115101 37116439 52.43
37130920 37131217 22.33
37134017 37134531 117.67
37139976 37141202 90.34
37152703 37153567 69.61
37161430 37161783 76.24
37175487 37175951 28.35
37177799 37178419 23.22
37185237 37186229 36.44
37196174 37196644 20.72
37198604 37200291 150.18
37202775 37203115 29.42
37224004 37224404 32.96
37238684 37239503 31.09
37241162 37241747 73.28
37243322 37244363 44.67
37245288 37245841 80.96
37248435 37249567 49.47
37252310 37252694 23.49
37265464 37266081 143.59
37270923 37271647 159.53
37283530 37284073 93.29
37305878 37306707 29.93
37312799 37314364 121.88
37314926 37315103 21.36
37323496 37323901 28.86
37344284 37344678 25.89
37350138 37350794 24.02
37351588 37352307 26.63
37357001 37357463 31.58
37368708 37369111 47.82
37373767 37375848 112.90
37395696 37396450 34.58
37398310 37400002 138.72
37402309 37402835 35.80
37404482 37404913 27.79
37405653 37406201 94.59
37409087 37409431 20.78
37421526 37422009 46.19
37427183 37427927 20.51
37429676 37430766 34.63
37437451 37437728 26.80
37449352 37450993 49.66
37454640 37455313 21.00
37479578 37480740 60.36
37488541 37491948 108.66
37521836 37522086 35.11
37526983 37527582 45.37
37529820 37530747 38.23
37539367 37540032 54.17
37549161 37549602 91.36
37556117 37556387 22.31
37558400 37559076 24.77
37564433 37564805 24.20
37566212 37566542 26.41
37570293 37570913 30.83
37577839 37580546 105.78
37581332 37581729 27.94
37597495 37598464 50.17
37602529 37602966 26.55
37619681 37619731 42.27
37625879 37627207 34.79
37631372 37631543 23.06
37639953 37640306 25.13
37643925 37645434 31.14
37653753 37654151 44.82
37679976 37680968 94.54
37683649 37683938 29.68
37689128 37690095 23.26
37696003 37696302 33.31
37708743 37709666 24.01
37711587 37711631 20.44
37728884 37729482 34.39
37733089 37733349 26.34
37735354 37736018 30.74
37737004 37738217 95.28
37740267 37740897 37.46
37755248 37755512 28.31
37771782 37772689 23.34
37772984 37773471 24.12
37778408 37778769 22.51
37783531 37784710 29.20
37789369 37789779 20.13
37792349 37792976 23.05
37797351 37798678 43.00
37809537 37811376 70.56
37814002 37814481 30.27
37820163 37820509 23.49
37824993 37825889 22.21
37826131 37826612 80.56
37831276 37831630 20.90
37833363 37833637 20.74
37843962 37844588 41.99
37851949 37853554 127.54
37858013 37858190 23.03
37865641 37866522 56.72
37868040 37868745 65.65
37869578 37869931 29.19
37873560 37873923 21.63
37874358 37874740 44.82
37878316 37879125 80.83
37893602 37895043 36.10
37907153 37907602 37.02
37908883 37909281 38.94
37918110 37918368 21.85
37919439 37919936 35.30
37926170 37926898 20.98
37938833 37940832 39.15
37945475 37945987 74.96
37952862 37953993 21.47
37962345 37962713 29.36
37966355 37967365 29.27
37968232 37968487 37.97
37970443 37970711 43.67
37975462 37976041 48.17
37981041 37982400 49.56
37988846 37989247 25.72
37990325 37990628 41.60
37992214 37992796 28.48
38006439 38007050 27.78
38022405 38023029 22.21
38041719 38042513 36.68
38048314 38049187 41.32
38053171 38053470 35.65
38062010 38063940 54.71
38093525 38093828 81.73
38101394 38101987 24.40
38103842 38104844 105.86
38124788 38124824 23.67
38129298 38129674 26.72
38149501 38150015 21.77
38168442 38168730 57.00
38172306 38173430 73.67
38177970 38179405 41.96
38182254 38184520 27.38
38190264 38191920 29.93
38192350 38192873 30.13
38198507 38199040 30.31
38200438 38201666 37.40
38202586 38203673 37.93
38211965 38212865 25.32
38222336 38222907 37.86
38229648 38231149 30.22
38241455 38241864 23.11
38243852 38245009 38.00
38247392 38247976 41.17
38248797 38250129 30.27
38250717 38251290 23.61
38258308 38261262 54.44
38262331 38265523 258.85
38265915 38268981 415.81
38276119 38276400 127.36
38280030 38280373 26.20
46380682 46402215 25601.69
46403164 46405429 63.42
46421822 46422059 37.79
46431902 46432090 20.03
46445987 46446367 47.01
46458836 46460738 36.67
46465946 46465990 42.50
46557216 46557303 38.18
48246980 48247403 31.63
48917567 48917747 37.99
49644646 49644767 20.31
54877063 54877365 23.74
55808213 55832019 906.42
56158784 56159296 21.37
58119785 58120036 20.32
58360566 58361342 22.77
60884399 60884558 31.59
61353345 61353407 30.31
61802381 61802763 22.59
63446435 63446469 49.07
64694039 64695335 23.61
67338847 67338885 20.56
67341008 67341093 23.07
68222281 68222330 21.74
69012535 69012582 32.04
69374614 69374666 45.12
69537595 69538429 20.15
69727816 69728202 33.83
69944290 69945758 51.80
69949217 69949712 33.79
69950472 69951531 28.11
69954490 69956070 43.86
69957487 69960564 61.08
69962933 69964069 54.38
69967226 69967678 49.00
69969297 69969729 44.70
69970441 69971470 28.92
70116661 70116930 23.65
70118093 70118544 26.24
70121519 70167147 4886.57
70169570 70170841 40.85
70172594 70173090 30.81
70174939 70175354 26.11
70177732 70179046 24.54
70180667 70180998 20.42
70182573 70183468 36.39
70185595 70186455 28.37
70186780 70187396 24.29
70188788 70190259 178.93
70195778 70197001 43.73
70199057 70199371 26.43
70200004 70200472 31.40
70845936 70846312 23.18
70864307 70864468 30.65
73439893 73439930 21.34
74333006 74335371 71.73
74336433 74336886 27.23
74349672 74350111 21.13
74359655 74377621 1985.40
74378081 74388415 643.05
74389063 74405024 1312.54
74405808 74428572 1923.85
74454658 74454689 28.47
75410043 75410076 20.46
77679922 77680376 21.88
78345453 78345480 24.17
80088313 80088778 20.11
81086117 81086213 54.64
81577091 81578249 80.06
81765024 81765580 64.10
81849753 81849857 21.06
82275617 82276097 27.83
83330722 83331608 22.09
83602080 83602127 30.26
84930366 84930471 20.81
85404419 85405030 34.16
85972568 85972843 72.89
86418607 86419693 58.10
86464260 86464563 37.59
86678625 86678900 42.50
87222012 87222436 52.27
87614269 87614583 30.50
88192928 88193034 31.37
88237396 88237532 29.73
88371805 88372410 47.82
88401447 88401899 44.38
88918029 88920205 39.33
89008151 89009080 21.58
89068855 89069128 38.45
90091448 90093239 41.88
90100986 90101930 26.93
90111766 90112011 20.91
90113145 90113510 27.90
90116745 90119717 531.29
90121248 90121692 31.06
90178635 90180502 53.39
90181294 90183016 68.98
90192728 90193504 35.75
90196276 90202245 42.68
90202825 90204582 41.84
90206752 90207680 32.14
90208952 90210771 46.75
90212473 90214135 51.46
90225251 90226974 31.38
90227651 90228092 33.81

Annotations:

Start: 46380682
End: 46402215
Description: no annotated gene

Start: 34584619
End: 34596484
Description: no annotated gene

Start: 70121519
End: 70167147
Description: contains PDPR gene which encodes the pyruvate dehydrogenase phosphatase regulatory subunit) --> Pyruvate dehydrogenase is a complex of enzymes that is important in the conversion of pyruvate to acetyl-CoA, a key step in energy metabolism. The activity of pyruvate dehydrogenase is regulated by phosphorylation and dephosphorylation, and the PDPR protein is an important regulator of this process. The PDPR protein binds to and activates the pyruvate dehydrogenase phosphatase enzyme, which removes phosphate groups from pyruvate dehydrogenase to activate it. This allows for the efficient conversion of pyruvate to acetyl-CoA, which can then be used in the citric acid cycle to generate ATP, the main source of energy for cells.

Read start histogram for non-elevated copy-number segments:
0=79164784
1=8959527
2=694340
>=3=49971

Read start histogram for elevated copy-number segments:
0=1027142
1=255838
2=40942
>=3=35702
